Country,Region,Notes
Albania,Eastern Europe,
Andorra,Southern Europe,Spain
Austria,Western Europe,
Belarus,Eastern Europe,
Belgium,Western Europe,
Bosnia and Herzegovina,Eastern Europe,
Bulgaria,Eastern Europe,
Croatia,Eastern Europe,
Cyprus,Southern Europe,
Czechia,Eastern Europe,
Denmark,Northern Europe,
Estonia,Eastern Europe,
Faeroe Islands,Northern Europe,Denmark
Finland,Northern Europe,
France,Western Europe,
Germany,Western Europe,
Gibraltar,Southern Europe,
Greece,Southern Europe,
Guernsey,Western Europe,England
Hungary,Eastern Europe,
Iceland,Northern Europe,
Ireland,Western Europe,
Isle of Man,Western Europe,England
Italy,Southern Europe,
Jersey,Western Europe,England
Kosovo,Eastern Europe,
Latvia,Eastern Europe,
Liechtenstein,Western Europe,
Lithuania,Eastern Europe,
Luxembourg,Western Europe,
Malta,Southern Europe,
Moldova,Eastern Europe,
Monaco,Southern Europe,
Montenegro,Eastern Europe,
Netherlands,Western Europe,
North Macedonia,Eastern Europe,
Norway,Northern Europe,
Poland,Eastern Europe,
Portugal,Southern Europe,
Romania,Eastern Europe,
Russia,Eastern Europe,
San Marino,Southern Europe,Italy
Serbia,Eastern Europe,
Slovakia,Eastern Europe,
Slovenia,Eastern Europe,
Spain,Southern Europe,
Sweden,Northern Europe,
Switzerland,Western Europe,
Ukraine,Eastern Europe,
United Kingdom,Western Europe,
Vatican,Southern Europe,Italy